Genes,Type,Class,Mechanism,Group
MEG_497|Drugs|betalactams|Class_C_betalactamases|ACT,Drugs,betalactams,Class C betalactamases,ACT
MEG_3290|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,Biocides,Acetate resistance,Acetate resistance protein,ICLR
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux regulator,EVGS
MEG_2020|Metals|Copper_resistance|Copper_resistance_protein|COPA,Metals,Copper resistance,Copper resistance protein,COPA
MEG_4939|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_5214|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_6559|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPA,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,SRPA
MEG_314|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7028|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_6846|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6866|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3892|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,Metals,Mercury resistance,Mercury resistance protein,MERT
MEG_1866|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_2888|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPA,Metals,Multi-metal resistance,Multi-metal ABC efflux pumps,FBPA
MEG_3621|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUP,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUP
MEG_2874|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,Biocides,Phenolic compound resistance,Phenolic resistance protein,FABI
MEG_1873|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_273|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_3918|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXL,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MEXL
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,Drugs,Cationic antimicrobial peptides,Lipid A modification,EPTA
MEG_4727|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_4671|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_819|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_682|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEF
MEG_2581|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK,Drugs,Trimethoprim,Dihydrofolate reductase,DFRK
MEG_2915|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_4980|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7231|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_5397|Drugs|Fluoroquinolones|Fluoroquinolone_ABC_efflux_pump|PATA,Drugs,Fluoroquinolones,Fluoroquinolone ABC efflux pump,PATA
MEG_774|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3794|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_4008|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,Metals,Multi-metal resistance,Multi-metal ABC efflux pumps,MODC
MEG_6629|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_1794|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB,Drugs,MLS,Macrolide phosphotransferases,MPHB
MEG_6989|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET39
MEG_1428|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4294|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,OPMH
MEG_1871|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_359|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6827|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1334|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_886|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4043|Drugs|MLS|Macrolide_phosphotransferases|MPHE,Drugs,MLS,Macrolide phosphotransferases,MPHE
MEG_1434|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,OXYRKP
MEG_6590|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_1946|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_879|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6916|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1415|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2083|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,Metals,Copper resistance,Copper resistance regulator,COPZ
MEG_837|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4758|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3020|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSE,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSE
MEG_3870|Metals|Mercury_resistance|Mercury_resistance_protein|MERF,Metals,Mercury resistance,Mercury resistance protein,MERF
MEG_7627|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,Drugs,MLS,Streptogramin A O-acetyltransferase,VATE
MEG_7072|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETE
MEG_5747|Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|PDRM,Biocides,Multi-biocide resistance,Multi-biocide MATE efflux pump,PDRM
MEG_1340|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4809|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_816|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1115|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,Drugs,Multi-drug resistance,MDR regulator,ARLR
MEG_1345|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1953|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1327|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_1880|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1172|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,Metals,Arsenic resistance,Arsenic resistance regulator,ARSR
MEG_333|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6896|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_7114|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_5759|Drugs|betalactams|Class_A_betalactamases|PER,Drugs,betalactams,Class A betalactamases,PER
MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,Biocides,Peroxide resistance,peroxide resistance protein,YDEI
MEG_4806|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPTA,Metals,Multi-metal resistance,Multi-metal resistance protein,FPTA
MEG_5896|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_2672|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_6024|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS
MEG_4651|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_825|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_873|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_5888|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_1449|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6824|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_818|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7290|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGC,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,TTGC
MEG_183|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1633|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATS,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATS
MEG_7678|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_5924|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_3645|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,Drugs,MLS,MLS resistance ABC efflux pumps,LSA
MEG_5794|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|PMPM,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,PMPM
MEG_3788|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_532|Drugs|betalactams|Class_C_betalactamases|ADC,Drugs,betalactams,Class C betalactamases,ADC
MEG_3072|Drugs|Fusidic_acid|Fusidic_acid_esterases|FUSF,Drugs,Fusidic acid,Fusidic acid esterases,FUSF
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
MEG_1687|Drugs|betalactams|Class_A_betalactamases|CFX,Drugs,betalactams,Class A betalactamases,CFX
MEG_5148|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_777|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MDTP
MEG_3943|Drugs|Multi-drug_resistance|MDR_regulator|MGRA,Drugs,Multi-drug resistance,MDR regulator,MGRA
MEG_1338|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_885|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7027|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_4411|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_4207|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,NORA
MEG_3816|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,Drugs,MLS,MLS resistance MFS efflux pumps,MEFA
MEG_782|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4082|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRD
MEG_7147|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEH
MEG_1154|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,Metals,Arsenic resistance,Arsenic resistance protein,ARSC
MEG_3664|Drugs|betalactams|Class_C_betalactamases|MCA,Drugs,betalactams,Class C betalactamases,MCA
MEG_739|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_3856|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,Metals,Mercury resistance,Mercury resistance protein,MERB
MEG_948|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1156|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,Metals,Arsenic resistance,Arsenic resistance protein,ARSC
MEG_3669|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_1825|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT9
MEG_3853|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,Metals,Mercury resistance,Mercury resistance protein,MERB
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,Multi-compound,Drug and biocide resistance,Drug and biocide ABC efflux pumps,YOGI
MEG_7851|Metals|Zinc_resistance|Zinc_resistance_protein|ZITB,Metals,Zinc resistance,Zinc resistance protein,ZITB
MEG_2606|Drugs|betalactams|Class_C_betalactamases|DHA,Drugs,betalactams,Class C betalactamases,DHA
MEG_7632|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,Drugs,MLS,Streptogramin A O-acetyltransferase,VATE
MEG_6983|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET38
MEG_810|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7052|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETB
MEG_5921|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_7058|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETC
MEG_239|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_5844|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACG
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETBP
MEG_813|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_904|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,Drugs,MLS,MLS resistance ABC efflux pumps,MSRD
MEG_4090|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA,Drugs,Mupirocin,Mupirocin-resistant isoleucyl-tRNA synthetase,MUPA
MEG_6543|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,Biocides,Peroxide resistance,peroxide resistance protein,SODA
MEG_236|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2065|Metals|Copper_resistance|Copper_resistance_protein|COPM,Metals,Copper resistance,Copper resistance protein,COPM
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,Drugs,Glycopeptides,VanC-type resistance protein,VANC
MEG_1091|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
MEG_1635|Drugs|betalactams|Class_B_betalactamases|CAU,Drugs,betalactams,Class B betalactamases,CAU
MEG_753|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_1681|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRA,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CFRA
MEG_1406|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6854|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_751|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_3820|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,Drugs,MLS,MLS resistance MFS efflux pumps,MEFA
MEG_3608|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUA
MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,Metals,Multi-metal resistance,Multi-metal resistance protein,CORA
MEG_7017|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_2723|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRASM,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRASM
MEG_970|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_5827|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACE
MEG_824|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_792|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7119|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_793|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3096|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_3460|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KMRA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,KMRA
MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MDTN
MEG_1013|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
MEG_1894|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6759|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3723|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_6687|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_4083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRD
MEG_6783|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3070|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSD,Drugs,Fusidic acid,Ribosomal zinc-binding protein,FUSD
MEG_1821|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3865|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,Metals,Mercury resistance,Mercury resistance regulator,MERD
MEG_6049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB,Metals,Multi-metal resistance,Multi-metal resistance protein,RCNB
MEG_773|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6691|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_4066|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,Drugs,MLS,MLS resistance ABC efflux pumps,MSRA
MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,Drugs,MLS,MLS resistance MFS efflux pumps,MEFA
MEG_1396|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2019|Metals|Copper_resistance|Copper_resistance_protein|COPA,Metals,Copper resistance,Copper resistance protein,COPA
MEG_7232|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
