Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:plasmid:147568,IS,NA,IS431mec,SAUSA300_pUSA030002,IS431mec,IS6,None,Staphylococcus aureus,1219,0
gene:plasmid:19507,IS,NA,IS3,D616_p97047,IS3,IS3,IS3,Escherichia coli,595,2.00E-170
gene:proph:176088,Prophage,NA,DNA packaging protein FI,ECP_1173,NA,NA,NA,NA,NA,NA
gene:plasmid:136285,IS,NA,IS26,P99018ORF_019,IS26,IS6,None,Proteus vulgaris,1421,0
gene:proph:179405,Prophage,NA,capsid portal protein,c0947,NA,NA,NA,NA,NA,NA
gene:plasmid:24705,Plasmid,Plasmid secretion or conjugation machinery,ibfA translocation ,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:88336,Plasmid,Hypothetical plasmid protein,hypothetical protein,KPN_pKPN3p05966,NA,NA,NA,NA,NA,NA
gene:vir:3840,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:145677,Plasmid,PREPIM,repB initiator,Pcryo_2493,NA,NA,NA,NA,NA,NA
gene:vir:9471,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:122380,Plasmid,Unclassified plasmid gene,None,Q172_r1,NA,NA,NA,NA,NA,NA
gene:plasmid:155206,Plasmid,Unclassified plasmid gene,pSymA,SM_RS30600,NA,NA,NA,NA,NA,NA
gene:plasmid:84548,Plasmid,PREPIM,NR1 rep protein,D616_p81116,NA,NA,NA,NA,NA,NA
gene:proph:184836,Prophage,NA,hypothetical protein,LREU_RS06025,NA,NA,NA,NA,NA,NA
gene:plasmid:117813,IS,NA,ISSen3,SC168,ISSen3,IS21,None,Salmonella enterica,1546,0
gene:plasmid:136293,Plasmid ARG,Plasmid ARG,hypothetical protein,P99018ORF_027,NA,NA,NA,NA,NA,NA
gene:plasmid:14550,Plasmid,Hypothetical plasmid protein,hypothetical protein,CPE_RS00160,NA,NA,NA,NA,NA,NA
gene:vir:7103,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:105425,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:83737,IS,NA,IS26,YpIP275_pIP1202_0066,IS26,IS6,None,Proteus vulgaris,1433,0
gene:plasmid:84230,Plasmid,Plasmid ARG,MarR family transcriptional regulator,OANT_RS23025,NA,NA,NA,NA,NA,NA
gene:vir:103455,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:80678,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:183599,Prophage,NA,tRNA-specific adenosine deaminase,SFV_2607,NA,NA,NA,NA,NA,NA
gene:plasmid:17243,Plasmid,Hypothetical plasmid protein,hypothetical protein,pWV01_04,NA,NA,NA,NA,NA,NA
gene:plasmid:124736,IS,NA,IS100kyp,YP_pPCP01,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:plasmid:14772,Plasmid ARG,Plasmid ARG,AADA9 protein,pTET3_p27,NA,NA,NA,NA,NA,NA
gene:plasmid:28877,Plasmid,Hypothetical plasmid protein,hypothetical protein,SE_p610,NA,NA,NA,NA,NA,NA
gene:plasmid:19776,Plasmid,PREPIM,repA,pCI411_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:123324,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV21,NA,NA,NA,NA,NA,NA
gene:plasmid:15994,TE,NA,TnpA1,p165897_065,ISEc15,NA,NA,Escherichia coli,1594,0
gene:plasmid:146008,IS,NA,IS1297,pVEF1_009,IS1297,IS6,None,Leuconostoc mesenteroides,1021,0
gene:plasmid:117368,IS,NA,IS50R,pO86A1_p159,IS50R,IS4,IS50,Escherichia coli,2700,0
gene:plasmid:85763,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Bax1,Rsph17025_3673,NA,NA,NA,NA,NA,NA
IncFIB(AP001918)_1__AP001918,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:15977,Plasmid,PREPIM,repA4,p165897_048,NA,NA,NA,NA,NA,NA
gene:plasmid:156110,Plasmid,Hypothetical plasmid protein,hypothetical protein,LV159,NA,NA,NA,NA,NA,NA
ICEberg|233|ICESsu(BM407)2|GenBank|FM252032|1005794..1086113,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:168904,Prophage,NA,hypothetical protein,SAG0573,NA,NA,NA,NA,NA,NA
ICEberg|365|ICESpnKD6|GenBank|EU676252|1..951,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117760,Plasmid ARG,Plasmid ARG,streptothricin acetyl-transferase,SC055,NA,NA,NA,NA,NA,NA
gene:vir:95764,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14958,TE,NA,TnpNF of Tn5564 transposase,pTP10_p33,IS5564,NA,NA,Corynebacterium striatum,196,6.00E-51
gene:plasmid:87150,IS,NA,IS1216E,pGdh442_02,IS1216E,IS6,None,Enterococcus faecium,1195,0
gene:proph:178285,Prophage,NA,HK97 family phage prohead protease,PP_RS08075,NA,NA,NA,NA,NA,NA
gene:vir:2649,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:153826,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,parB1 stabilization protein,D763_p2028,NA,NA,NA,NA,NA,NA
gene:vir:103662,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14139,Plasmid,PREPIM,repA1,pCJ419_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:158575,IS,NA,IS3000 repeat,pRSB101_03,ISPlu20,IS66,None,Photorhabdus luminescens,32.2,0.3
gene:plasmid:91020,Plasmid,Hypothetical plasmid protein,hypothetical protein,SaurJH1_2801,NA,NA,NA,NA,NA,NA
gene:plasmid:21134,Plasmid ARG,Plasmid ARG,Fe/S-dependent 2-methylisocitrate dehydratase AcnD,RS_RS17730,NA,NA,NA,NA,NA,NA
gene:plasmid:132193,Plasmid,PTTREG,rRNA,LACR_r1,NA,NA,NA,NA,NA,NA
gene:vir:6917,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:96909,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85658,Plasmid,Plasmid biosynthesis_regulatory_enzymes,S-adenosylmethionine synthetase,Rsph17025_3877,NA,NA,NA,NA,NA,NA
gene:vir:108417,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:182645,Prophage,NA,phosphoribosylformylglycinamidine synthase,SF2604,NA,NA,NA,NA,NA,NA
gene:vir:94696,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:91633,Plasmid ARG,Plasmid ARG,mercury resistance protein,SNSL254_pSN254_0162,NA,NA,NA,NA,NA,NA
gene:plasmid:157904,TE,NA,Tn5393,pTYM1_p3,Tn5393,NA,NA,Erwinia amylovora,186,7.00E-48
gene:plasmid:109357,IS,NA,ISAtu7,RSP_RS21220,ISAtu7,IS110,IS1111,Agrobacterium tumefaciens,478,3.00E-135
gene:vir:79547,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:158567,TE,NA,TnAs3,pRSB101_21,TnAs3,NA,NA,Aeromonas salmonicida,2010,0
gene:proph:184740,Prophage,NA,hypothetical protein,LREU_RS04455,NA,NA,NA,NA,NA,NA
gene:plasmid:124050,TE,NA,Integrase/recombinase,pCPF4969_15,ISMac2,NA,NA,Methanosarcina acetivorans,38.2,0.022
gene:plasmid:121581,Plasmid,Hypothetical plasmid protein,hypothetical protein,LH0064,NA,NA,NA,NA,NA,NA
gene:plasmid:151818,Plasmid ARG,Plasmid ARG,fosfomycin resistance protein FosB,pSHaeA01,NA,NA,NA,NA,NA,NA
gene:plasmid:116061,IS,NA,IS1477,XCVd0091,IS476,IS3,IS407,Xanthomonas campestris,1653,0
gene:vir:10419,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:105353,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:166,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:88398,Plasmid,Plasmid secretion or conjugation machinery,trbB,KPN_pKPN3p06028,NA,NA,NA,NA,NA,NA
gene:plasmid:131376,Plasmid,PTTREG,tRNA,Rsph17025_R0053,NA,NA,NA,NA,NA,NA
gene:plasmid:85668,Plasmid,Plasmid biosynthesis_regulatory_enzymes,tryptophan synthase subunit beta,Rsph17025_3887,NA,NA,NA,NA,NA,NA
gene:plasmid:135619,IS,NA,IS1216E,pRE25p51,IS1216E,IS6,None,Enterococcus faecium,1362,0
gene:plasmid:14753,Plasmid,Plasmid secretion or conjugation machinery,VirB5 secretion system component,pTET3_p08,NA,NA,NA,NA,NA,NA
gene:plasmid:28865,Plasmid,PREPIM,rep protein,pSepCH_01,NA,NA,NA,NA,NA,NA
gene:plasmid:28871,Plasmid,Plasmid relaxase and mobilization machinery,relaxase/mob,SE_p604,NA,NA,NA,NA,NA,NA
gene:plasmid:24673,Plasmid,Plasmid relaxase and mobilization machinery,mobA,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:82832,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p28,NA,NA,NA,NA,NA,NA
gene:plasmid:154927,Plasmid,Plasmid biosynthesis_regulatory_enzymes,FAD dependent oxidoreductase,Pden_4916,NA,NA,NA,NA,NA,NA
gene:vir:95245,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:15663,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRUM_p18,NA,NA,NA,NA,NA,NA
gene:proph:163935,Prophage,NA,hypothetical protein,EcE24377A_1780,NA,NA,NA,NA,NA,NA
gene:plasmid:91798,IS,NA,IS26,KPN_pKPN5p08188,IS26,IS6,None,Proteus vulgaris,1421,0
gene:plasmid:155275,Plasmid,PREPIM,repC,pBP1_04,NA,NA,NA,NA,NA,NA
gene:plasmid:156401,Plasmid,PTTREG,putative transcriptional repressor,pVEF223,NA,NA,NA,NA,NA,NA
gene:plasmid:28571,Plasmid,Hypothetical plasmid protein,hypothetical protein,pC194_p4,NA,NA,NA,NA,NA,NA
gene:vir:99503,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:149987,Plasmid,Hypothetical plasmid protein,hypothetical protein,LP_RS15495,NA,NA,NA,NA,NA,NA
gene:vir:103530,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:105476,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:91011,TE,NA,transposase-like Mu,SaurJH1_2822,ISCysp10,NA,NA,Cyanothece sp.,34.2,0.62
gene:vir:104283,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:4553,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:101370,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:148201,IS,NA,ISEc23,pC15-1a_045,ISEc23,IS66,None,Escherichia coli,844,0
gene:proph:159455,Prophage,NA,ParB N-terminal domain-containing protein,SPY_RS02825,NA,NA,NA,NA,NA,NA
gene:plasmid:88329,Plasmid,Hypothetical plasmid protein,hypothetical protein,KPN_pKPN3p05959,NA,NA,NA,NA,NA,NA
gene:plasmid:14332,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCRP3p02,NA,NA,NA,NA,NA,NA
gene:proph:171023,Prophage,NA,"prophage LambdaSa04, methyltransferase C-5",SAK_0739,NA,NA,NA,NA,NA,NA
gene:plasmid:154443,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Mycobacterium tuberculosis msrA2,pFBAOT6.69,NA,NA,NA,NA,NA,NA
gene:plasmid:119596,TE,NA,ISMex22_Tn3,pBS228_p057,ISMex22,NA,NA,Methylobacterium extorquens,95.6,8.00E-20
gene:proph:167230,Prophage,NA,acetyltransferase,SERP1586,NA,NA,NA,NA,NA,NA
gene:plasmid:155274,Plasmid,PREPIM,repB,pBP1_03,NA,NA,NA,NA,NA,NA
gene:plasmid:158555,Plasmid,Hypothetical plasmid protein,hypothetical protein,pMG8284_03,NA,NA,NA,NA,NA,NA
gene:plasmid:123286,Plasmid ARG,Plasmid ARG,SitA,O2ColV1,NA,NA,NA,NA,NA,NA
gene:proph:167178,Prophage,NA,hypothetical protein,SERP1565,NA,NA,NA,NA,NA,NA
gene:vir:101336,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85110,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p10,NA,NA,NA,NA,NA,NA
gene:plasmid:14821,TE,NA,TnpB,pCG4_p21,IS1628,NA,NA,Corynebacterium glutamicum,1409,0
gene:plasmid:152260,Plasmid,Plasmid relaxase and mobilization machinery,mobilization protein,SEA0030,NA,NA,NA,NA,NA,NA
gene:vir:5722,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:112454,Plasmid,Plasmid relaxase and mobilization machinery,mobB,pRA2_26,NA,NA,NA,NA,NA,NA
gene:plasmid:135954,IS,NA,IS981,LACR_D09,IS981,IS3,IS3,Lactococcus lactis,502,2.00E-142
gene:plasmid:24685,TE,NA,Unknown transposase,ERROR,None,NA,NA,None,0,0
gene:plasmid:157787,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,CsbD stress response protein,LSL_RS00080,NA,NA,NA,NA,NA,NA
gene:proph:181313,Prophage,NA,minor capsid protein,SSON_2427,NA,NA,NA,NA,NA,NA
gene:proph:163572,Prophage,NA,hypothetical protein,SH2366,NA,NA,NA,NA,NA,NA
gene:plasmid:91586,TE,NA,tniB transposition protein,SNSL254_pSN254_0157,TnAs3,NA,NA,Aeromonas salmonicida,1687,0
gene:plasmid:139254,Plasmid,PREPIM,HU protein implicated in DNA rep,LSL_RS09800,NA,NA,NA,NA,NA,NA
gene:plasmid:17135,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,PrlF toxin-antitoxin protein,pMD5057_005,NA,NA,NA,NA,NA,NA
gene:proph:176068,Prophage,NA,tail assembly protein I,ECP_1184,NA,NA,NA,NA,NA,NA
gene:plasmid:28641,IS,NA,ISSau6,pETB_p49,ISSau6,IS6,None,Staphylococcus aureus,1314,0
gene:vir:108717,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:123280,IS,NA,IS1G,O2ColV198,IS1G,IS1,None,Escherichia coli,539,8.00E-154
gene:plasmid:87729,Plasmid,PREPIM,replicase,PsycPRwf_2392,NA,NA,NA,NA,NA,NA
gene:plasmid:16980,TE,NA,TnpA,R46_053,IS26,NA,NA,Proteus vulgaris,1509,0
gene:plasmid:90766,Plasmid,Plasmid biosynthesis_regulatory_enzymes,cytochrome c oxidase,Mflv_5341,NA,NA,NA,NA,NA,NA
gene:vir:3429,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:13200,Plasmid,PTTREG,winged helix-turn-helix domain-containing protein,BT_RS24215,NA,NA,NA,NA,NA,NA
gene:vir:1115,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:90625,TE,NA,TnAs3,Bcep1808_7236,TnAs3,NA,NA,Aeromonas salmonicida,1195,0
gene:plasmid:14518,IS,NA,IS256 family transposase,PCP06,ISCp1,IS256,None,Clostridium perfringens,52,3.00E-07
gene:plasmid:147237,Plasmid,PREPIM,repA,YPN_MT0046,NA,NA,NA,NA,NA,NA
gene:vir:2195,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:88327,IS,NA,IS1X2,KPN_pKPN3p05957,IS1X2,IS1,None,Escherichia vulneris,952,0
gene:proph:163480,Prophage,NA,transposase for Tn552,SH1760,NA,NA,NA,NA,NA,NA
gene:vir:747,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181134,Prophage,NA,hypothetical protein,UTI89_C5118,NA,NA,NA,NA,NA,NA
gene:proph:163584,Prophage,NA,hypothetical protein,SH2339,NA,NA,NA,NA,NA,NA
gene:plasmid:14547,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,ImmA/IrrE family metallo-endopeptidase toxin-antitoxin,CPE_RS00150,NA,NA,NA,NA,NA,NA
gene:proph:173888,Prophage,NA,bacteriophage protein,STY1057,NA,NA,NA,NA,NA,NA
gene:plasmid:124922,Plasmid,Plasmid transposition_recombination_integration,recombinase,SSP_RS12315,NA,NA,NA,NA,NA,NA
gene:plasmid:150762,Plasmid,Plasmid virulence and pathogenicity domain,dmpG,Pnap_4142,NA,NA,NA,NA,NA,NA
gene:plasmid:117983,Plasmid,PTTREG,XRE transcription regulator,Mmcs_5594,NA,NA,NA,NA,NA,NA
gene:plasmid:109669,Plasmid ARG,Plasmid ARG,dihydropteroate synthase,p9123p1,NA,NA,NA,NA,NA,NA
gene:plasmid:15865,TE,NA,TnsA,R721_29,ISPpr10,NA,NA,Photobacterium profundum,34.2,0.35
gene:plasmid:21133,Plasmid,Plasmid biosynthesis_regulatory_enzymes,PrpF SCFA degradation,RS_RS17725,NA,NA,NA,NA,NA,NA
rep7_3_CDS1(pCW7)_J03323,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117836,Plasmid ARG,Plasmid ARG,aminoglycoside resistance protein,SC051,NA,NA,NA,NA,NA,NA
gene:plasmid:158883,Plasmid,Unclassified plasmid gene,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:129656,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,type II toxin-antitoxin system RelE/ParE family toxin,ND095,NA,NA,NA,NA,NA,NA
gene:vir:6625,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85103,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p42,NA,NA,NA,NA,NA,NA
gene:plasmid:17358,IS,NA,ISS1X,pBL1_p6,ISS1X,IS6,None,Lactococcus lactis,1334,0
gene:plasmid:151537,Plasmid,Plasmid relaxase and mobilization machinery,recombinase/relaxase protein,pSHaeC11,NA,NA,NA,NA,NA,NA
gene:proph:175673,Prophage,NA,phage protein,MGAS10270_Spy1888,NA,NA,NA,NA,NA,NA
gene:plasmid:19759,Plasmid,PREPIM,RepU,pBC16_p4,NA,NA,NA,NA,NA,NA
gene:plasmid:154995,Plasmid,Plasmid biosynthesis_regulatory_enzymes,"transketolase, central region",Pden_4984,NA,NA,NA,NA,NA,NA
gene:plasmid:10571,Plasmid ARG,Plasmid ARG,tetracycline resistance regulatory protein TetR,pRAS32_05,NA,NA,NA,NA,NA,NA
gene:plasmid:151012,IS,NA,IS15DI,pMUR050_003,IS15DI,IS6,None,Salmonella panama,1390,0
gene:plasmid:28625,Plasmid,Hypothetical plasmid protein,hypothetical protein,pETB_p33,NA,NA,NA,NA,NA,NA
gene:plasmid:87117,TE,NA,tnpA1-ISLL6 ,pGdh442_36,IS-LL6,NA,NA,Lactococcus lactis,172,2.00E-43
gene:plasmid:151665,Plasmid,PREPIM,repA,pCC2228-3_01,NA,NA,NA,NA,NA,NA
gene:vir:105351,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135146,Plasmid,PTTREG,tRNA,TM1040_R0060,NA,NA,NA,NA,NA,NA
gene:plasmid:15463,Plasmid,Plasmid biosynthesis_regulatory_enzymes,hydroxylase,pAM373_p37,NA,NA,NA,NA,NA,NA
gene:plasmid:142772,IS,NA,ISBlo8,AAur_pTC20126,ISBlo8,IS256,None,Bifidobacterium longum,79.8,1.00E-14
gene:plasmid:10521,Plasmid,Unclassified plasmid gene,unknown,pRAY_0010,NA,NA,NA,NA,NA,NA
gene:plasmid:125553,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,YafQ toxin-antitoxin,Ajs_4250,NA,NA,NA,NA,NA,NA
gene:plasmid:135971,Plasmid,Plasmid relaxase and mobilization machinery,TraD,LACR_D26,NA,NA,NA,NA,NA,NA
gene:plasmid:91003,IS,NA,IS257-3,SaurJH1_2817,IS257-3,IS6,None,Staphylococcus aureus,1338,0
gene:vir:6082,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:102952,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:24442,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0120c,NA,NA,NA,NA,NA,NA
gene:plasmid:130463,IS,NA,ISSstl1,Xaut_4822,ISSst1,IS3,IS407,Sagittula stellata,85.7,2.00E-17
gene:plasmid:25255,IS,NA,IS100kyp,pWR501_0129,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1842,0
gene:plasmid:14933,IS,NA,IS1249,pTP10_p05,IS1249,IS256,IS1249,Corynebacterium xerosis,2397,0
rep21_2_rep(pNVH01)_AJ512814.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19778,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCU1p1,NA,NA,NA,NA,NA,NA
gene:proph:163915,IS,NA,lysis protein S,EcE24377A_1763,ISEc8,IS66,None,Escherichia coli,81.8,5.00E-16
gene:vir:101344,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:179715,Prophage,NA,Phage-related DNA helicase,M6_Spy1149,NA,NA,NA,NA,NA,NA
gene:vir:3851,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:18175,Plasmid,PTTREG,Mer-R transcriptional regulator,pSD10p25,NA,NA,NA,NA,NA,NA
gene:plasmid:16068,Plasmid,PREPIM,Mok plasmid maintenance protein,p165897_139,NA,NA,NA,NA,NA,NA
gene:plasmid:28722,IS,NA,IS257R2,VRA0006,IS257R2,IS6,None,Staphylococcus aureus,1338,0
gene:plasmid:97798,Plasmid ARG,Plasmid ARG,tetO,pTet_p01,NA,NA,NA,NA,NA,NA
gene:vir:108965,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181306,Prophage,NA,prophage tail protein,SSON_2420,NA,NA,NA,NA,NA,NA
gene:plasmid:147498,Plasmid,Unclassified plasmid gene,unknown protein,Shewana3_4301,NA,NA,NA,NA,NA,NA
gene:plasmid:84412,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Excl1 protein,KPN_pKPN6p09259,NA,NA,NA,NA,NA,NA
gene:plasmid:125010,Plasmid,Hypothetical plasmid protein,hypothetical protein,pnf2110,NA,NA,NA,NA,NA,NA
gene:plasmid:148208,Plasmid,Unclassified plasmid gene,YihA,pC15-1a_095,NA,NA,NA,NA,NA,NA
gene:proph:172543,Prophage,NA,division inhibition protein DicB,ECs_2768,NA,NA,NA,NA,NA,NA
gene:plasmid:155338,Plasmid ARG,Plasmid ARG,arsenate reductase,pSA1379_17,NA,NA,NA,NA,NA,NA
gene:proph:161188,Prophage,NA,hypothetical protein,Amet_4034,NA,NA,NA,NA,NA,NA
gene:vir:101419,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:145999,IS,NA,IS1216E,pVEF1_041,IS1216E,IS6,None,Enterococcus faecium,1354,0
gene:vir:6704,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:95286,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:18171,Plasmid,Plasmid ARG,MC21,pSD10p21,NA,NA,NA,NA,NA,NA
gene:plasmid:90629,TE,NA,ISPa38-Tn3,Bcep1808_7240,ISPa38,NA,NA,Pseudomonas aeruginosa,345,1.00E-95
ICEberg|87|ICESpn9409|GenBank|FR671418|1..22765,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:184725,IS,NA,IS200/IS605 family transposase,LREU_RS07110,ISStin10,IS200/IS605,IS200,Streptococcus iniae,180,1.00E-45
gene:plasmid:154816,Plasmid,Plasmid virulence and pathogenicity domain,PaaZ degradation protein,Pden_4804,NA,NA,NA,NA,NA,NA
gene:plasmid:24457,Plasmid,Plasmid relaxase and mobilization machinery,MbeA mobilization protein,pK_p1,NA,NA,NA,NA,NA,NA
ICEberg|331|ICESpnH19A6-1|GenBank|CP000936|1302035..1322918,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:18174,Plasmid ARG,Plasmid ARG,putative integral membrane transporter,pSD10p24,NA,NA,NA,NA,NA,NA
gene:plasmid:20772,Plasmid,Plasmid biosynthesis_regulatory_enzymes,dihyrolipoamide dehydrogenase-like protein,pADP-1_p033,NA,NA,NA,NA,NA,NA
gene:vir:6444,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:93527,Plasmid,PREPIM,replication initiation protein,Rsph17025_4401,NA,NA,NA,NA,NA,NA
gene:proph:176766,Prophage,NA,endodeoxyribonuclease RUS,APECO1_239,NA,NA,NA,NA,NA,NA
gene:plasmid:153821,Plasmid,PREPIM,oriU,D763_p2047,NA,NA,NA,NA,NA,NA
gene:plasmid:145644,Plasmid,PTTREG,DNA binding response regulator,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:14875,Plasmid,Plasmid transposition_recombination_integration,recombinase protein,pB85766_05,NA,NA,NA,NA,NA,NA
gene:plasmid:147481,Plasmid,Plasmid biosynthesis_regulatory_enzymes,alkylhydroperoxidase ,Shewana3_4328,NA,NA,NA,NA,NA,NA
gene:plasmid:121463,Plasmid,PREPIM,repY,LH0193,NA,NA,NA,NA,NA,NA
gene:proph:162935,Prophage,NA,Ps108 protein,llmg_0048,NA,NA,NA,NA,NA,NA
gene:plasmid:24789,Plasmid,Unclassified plasmid gene,None,ERROR,NA,NA,NA,NA,NA,NA
gene:vir:3436,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:139622,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_71,NA,NA,NA,NA,NA,NA
gene:plasmid:13199,Plasmid,Hypothetical plasmid protein,hypothetical protein,BT_RS24210,NA,NA,NA,NA,NA,NA
gene:plasmid:16978,Plasmid ARG,Plasmid ARG,Sul1 dihydropteroate synthase,R46_051,NA,NA,NA,NA,NA,NA
gene:plasmid:151639,Plasmid,PREPIM,repU,pSES22_01,NA,NA,NA,NA,NA,NA
gene:plasmid:91659,Plasmid,PTTREG,LysR family transcriptional regulator,SNSL254_pSN254_0041,NA,NA,NA,NA,NA,NA
gene:proph:169129,Prophage,NA,tail protein,SBO_1389,NA,NA,NA,NA,NA,NA
gene:vir:107094,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14695,Plasmid ARG,Plasmid ARG,hypothetical protein,CE3P025,NA,NA,NA,NA,NA,NA
gene:plasmid:87388,Plasmid,Unclassified plasmid gene,"YolD protein, functionally uncharacterized",SaurJH9_2743,NA,NA,NA,NA,NA,NA
gene:plasmid:139643,Plasmid,Plasmid ARG,GNAT,O2R_118,NA,NA,NA,NA,NA,NA
gene:plasmid:93366,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279b_p17,NA,NA,NA,NA,NA,NA
gene:plasmid:117673,TE,NA,TnAs3,SC024,TnAs3,NA,NA,Aeromonas salmonicida,2553,0
gene:plasmid:24428,Plasmid,Plasmid biosynthesis_regulatory_enzymes,putative DNA modification methylase,HCM2.0104c,NA,NA,NA,NA,NA,NA
gene:proph:182951,Prophage,NA,phage tail tape measure protein,EcHS_A0946,NA,NA,NA,NA,NA,NA
gene:vir:93920,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117759,Plasmid ARG,Plasmid ARG,aminoglycoside resistance protein,SC053,NA,NA,NA,NA,NA,NA
